paper_section,panel,dataset,cue_setting,route_entropy,effective_experts,source_path,notes,status
Q4,Q4_routing_stats,Beauty,full,1.18,3.05,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Beauty,remove_category,1.15,2.98,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Beauty,remove_time,1.13,2.91,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Beauty,sequence_only_portable,1.09,2.82,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Foursquare,full,1.27,3.18,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Foursquare,remove_category,1.23,3.06,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Foursquare,remove_time,1.20,2.99,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Foursquare,sequence_only_portable,1.14,2.87,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,KuaiRec,full,1.10,2.88,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,KuaiRec,remove_category,1.08,2.84,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,KuaiRec,remove_time,1.05,2.76,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,KuaiRec,sequence_only_portable,1.01,2.69,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Retail Rocket,full,1.34,3.24,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Retail Rocket,remove_category,1.30,3.16,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Retail Rocket,remove_time,1.25,3.04,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging
Q4,Q4_routing_stats,Retail Rocket,sequence_only_portable,1.18,2.91,experiments/run/fmoe_n4/diag_exports/cue_routing_stats.csv,Placeholder routing-richness summary until per-setting diagnostic exports are logged.,placeholder_requires_logging